Source,"SPR Malaysia, WARTA KERAJAAN DAERAH MENGUNDI, PUSAT MENGUNDIDAN WAKTU MENGUNDI NEGERI-NEGERI TANAH MELAYU,SABAH DAN SARAWAK 2013"
Scale,1:6000 - 1:15000
Digitized,Tindak Malaysia
Disclaimer,"Users to exercise discretion when using the dataset. While every effort has been undertaken to ensure the accuracy, we are not responsible for errors and omission that are arising from the dataset."
